#  4  452
#   Weighted smoothing spline fit
# Ice core and Mauna Loa CO2                                       
# 50% attenuation at     23.4968    ; REG =     100.000 
#     Time     Smoothed data     Deriv
 1890.0  293.4572   0.25771
 1890.5  293.5860   0.25750
 1891.0  293.7147   0.25701
 1891.5  293.8430   0.25625
 1892.0  293.9709   0.25521
 1892.5  294.0982   0.25389
 1893.0  294.2247   0.25230
 1893.5  294.3504   0.25043
 1894.0  294.4751   0.24828
 1894.5  294.5987   0.24587
 1895.0  294.7210   0.24350
 1895.5  294.8422   0.24152
 1896.0  294.9626   0.23993
 1896.5  295.0822   0.23874
 1897.0  295.2014   0.23793
 1897.5  295.3202   0.23751
 1898.0  295.4390   0.23749
 1898.5  295.5578   0.23785
 1899.0  295.6769   0.23861
 1899.5  295.7964   0.23974
 1900.0  295.9167   0.24127
 1900.5  296.0378   0.24320
 1901.0  296.1599   0.24552
 1901.5  296.2834   0.24822
 1902.0  296.4082   0.25132
 1902.5  296.5348   0.25481
 1903.0  296.6631   0.25869
 1903.5  296.7935   0.26297
 1904.0  296.9261   0.26735
 1904.5  297.0609   0.27158
 1905.0  297.1977   0.27564
 1905.5  297.3365   0.27955
 1906.0  297.4772   0.28322
 1906.5  297.6196   0.28661
 1907.0  297.7637   0.28972
 1907.5  297.9093   0.29254
 1908.0  298.0562   0.29508
 1908.5  298.2043   0.29734
 1909.0  298.3535   0.29931
 1909.5  298.5036   0.30099
 1910.0  298.6545   0.30249
 1910.5  298.8061   0.30390
 1911.0  298.9584   0.30522
 1911.5  299.1113   0.30645
 1912.0  299.2648   0.30759
 1912.5  299.4189   0.30864
 1913.0  299.5734   0.30960
 1913.5  299.7285   0.31047
 1914.0  299.8839   0.31124
 1914.5  300.0397   0.31193
 1915.0  300.1958   0.31252
 1915.5  300.3522   0.31301
 1916.0  300.5088   0.31342
 1916.5  300.6656   0.31377
 1917.0  300.8225   0.31406
 1917.5  300.9796   0.31428
 1918.0  301.1368   0.31445
 1918.5  301.2941   0.31456
 1919.0  301.4514   0.31460
 1919.5  301.6087   0.31459
 1920.0  301.7659   0.31451
 1920.5  301.9232   0.31438
 1921.0  302.0803   0.31418
 1921.5  302.2373   0.31393
 1922.0  302.3942   0.31352
 1922.5  302.5508   0.31288
 1923.0  302.7071   0.31200
 1923.5  302.8628   0.31088
 1924.0  303.0179   0.30953
 1924.5  303.1723   0.30794
 1925.0  303.3258   0.30611
 1925.5  303.4783   0.30404
 1926.0  303.6298   0.30174
 1926.5  303.7800   0.29920
 1927.0  303.9290   0.29642
 1927.5  304.0764   0.29340
 1928.0  304.2224   0.29034
 1928.5  304.3668   0.28744
 1929.0  304.5098   0.28470
 1929.5  304.6515   0.28212
 1930.0  304.7920   0.27969
 1930.5  304.9312   0.27743
 1931.0  305.0694   0.27532
 1931.5  305.2066   0.27337
 1932.0  305.3428   0.27158
 1932.5  305.4782   0.26995
 1933.0  305.6128   0.26854
 1933.5  305.7468   0.26744
 1934.0  305.8803   0.26665
 1934.5  306.0135   0.26615
 1935.0  306.1465   0.26596
 1935.5  306.2795   0.26606
 1936.0  306.4126   0.26652
 1936.5  306.5461   0.26737
 1937.0  306.6801   0.26861
 1937.5  306.8148   0.27025
 1938.0  306.9503   0.27227
 1938.5  307.0871   0.27469
 1939.0  307.2251   0.27750
 1939.5  307.3647   0.28070
 1940.0  307.5059   0.28430
 1940.5  307.6490   0.28828
 1941.0  307.7943   0.29266
 1941.5  307.9417   0.29743
 1942.0  308.0917   0.30259
 1942.5  308.2444   0.30815
 1943.0  308.3999   0.31409
 1943.5  308.5586   0.32043
 1944.0  308.7204   0.32707
 1944.5  308.8857   0.33392
 1945.0  309.0544   0.34098
 1945.5  309.2267   0.34824
 1946.0  309.4026   0.35572
 1946.5  309.5824   0.36340
 1947.0  309.7661   0.37129
 1947.5  309.9538   0.37939
 1948.0  310.1455   0.38771
 1948.5  310.3415   0.39623
 1949.0  310.5418   0.40495
 1949.5  310.7465   0.41389
 1950.0  310.9557   0.42307
 1950.5  311.1696   0.43253
 1951.0  311.3883   0.44228
 1951.5  311.6119   0.45230
 1952.0  311.8406   0.46260
 1952.5  312.0746   0.47318
 1953.0  312.3139   0.48403
 1953.5  312.5587   0.49518
 1954.0  312.8091   0.50661
 1954.5  313.0653   0.51837
 1955.0  313.3275   0.53044
 1955.5  313.5958   0.54284
 1956.0  313.8704   0.55555
 1956.5  314.1514   0.56858
 1957.0  314.4390   0.58193
 1957.5  314.7334   0.59560
 1958.0  315.0347   0.60959
 1958.5  315.3430   0.62388
 1959.0  315.6585   0.63804
 1959.5  315.9810   0.65162
 1960.0  316.3099   0.66381
 1960.5  316.6444   0.67386
 1961.0  316.9835   0.68234
 1961.5  317.3266   0.68973
 1962.0  317.6732   0.69690
 1962.5  318.0236   0.70463
 1963.0  318.3782   0.71432
 1963.5  318.7385   0.72734
 1964.0  319.1062   0.74415
 1964.5  319.4833   0.76520
 1965.0  319.8721   0.79053
 1965.5  320.2745   0.81982
 1966.0  320.6922   0.85082
 1966.5  321.1253   0.88150
 1967.0  321.5737   0.91230
 1967.5  322.0377   0.94364
 1968.0  322.5174   0.97540
 1968.5  323.0131   1.00753
 1969.0  323.5248   1.03910
 1969.5  324.0520   1.06919
 1970.0  324.5937   1.09719
 1970.5  325.1487   1.12245
 1971.0  325.7158   1.14566
 1971.5  326.2941   1.16739
 1972.0  326.8828   1.18696
 1972.5  327.4806   1.20375
 1973.0  328.0859   1.21674
 1973.5  328.6966   1.22492
 1974.0  329.3108   1.23247
 1974.5  329.9296   1.24343
 1975.0  330.5549   1.25849
 1975.5  331.1889   1.27843
 1976.0  331.8340   1.30228
 1976.5  332.4917   1.32905
 1977.0  333.1631   1.35614
 1977.5  333.8474   1.38102
 1978.0  334.5436   1.40309
 1978.5  335.2500   1.42178
 1979.0  335.9649   1.43752
 1979.5  336.6871   1.45076
 1980.0  337.4153   1.46149
 1980.5  338.1481   1.46964
 1981.0  338.8848   1.47710
 1981.5  339.6254   1.48577
 1982.0  340.3708   1.49623
 1982.5  341.1221   1.50913
 1983.0  341.8802   1.52378
 1983.5  342.6460   1.53934
 1984.0  343.4197   1.55558
 1984.5  344.2017   1.57231
 1985.0  344.9922   1.58983
 1985.5  345.7917   1.60840
 1986.0  346.6006   1.62762
 1986.5  347.4193   1.64719
 1987.0  348.2476   1.66505
 1987.5  349.0837   1.67902
 1988.0  349.9257   1.68760
 1988.5  350.7702   1.68933
 1989.0  351.6200   1.70000
 1989.5  352.4700   1.70000
 1990.0  353.3200   1.70000
 1990.5  354.1700   1.70000
